iid,aircraft,model,flight_date,damage,airline,dep_airport,origin_state,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag,impact
204061,Airplane,MD-80,02/01/00 0:00,No damage,TRANS WORLD AIRLINES,KANSAS CITY INTL,Missouri,Approach,Large,Some Cloud,Y,500,No,None
202604,Airplane,DC-9-50,02/11/00 0:00,No damage,HAWAIIAN AIR,LIHUE ARPT,Hawaii,Take-off run,Small,No Cloud,Y,0,No,None
201044,Airplane,B-737,02/12/00 0:00,No damage,AMERICA WEST AIRLINES,PHOENIX SKY HARBOR,Arizona,Landing Roll,Small,Overcast,N,0,Yes,None
202254,Airplane,B-737-400,2/18/00 0:00,No damage,US AIRWAYS,NASHVILLE INTL,Tennessee,Climb,Small,Some Cloud,N,800,Yes,None
205346,Airplane,C-560,2/23/00 0:00,Damage,BUSINESS,JIM HAMILTON L B OWENS ARPT,South Carolina,Climb,Small,Some Cloud,N,500,No,None
201610,Airplane,B-737-300,2/25/00 0:00,No damage,UNITED AIRLINES,CHICAGO O'HARE INTL ARPT,Illinois,Climb,Medium,Overcast,N,"5,000",Yes,None
202454,Airplane,B-737-200,2/29/00 0:00,No damage,DELTA AIR LINES,WASHINGTON DULLES INTL ARPT,DC,Climb,Medium,No Cloud,Y,"1,500",Yes,Precautionary Landing
201013,Airplane,B-737-400,2/29/00 0:00,No damage,AIR TRANSAT,SOUTHWEST FLORIDA INTL ARPT,Florida,Landing Roll,Large,Some Cloud,Y,0,Yes,None
205771,Airplane,SAAB-340,03/04/00 0:00,No damage,MESABA AIRLINES,ABERDEEN REGIONAL AR,South Dakota,Climb,Small,Some Cloud,N,"2,000",No,None
202226,Airplane,MD-82,03/06/00 0:00,No damage,CONTINENTAL AIRLINES,NEWARK LIBERTY INTL ARPT,New Jersey,Landing Roll,Small,No Cloud,Y,0,No,None
204404,Airplane,HAWKER 800,03/06/00 0:00,No damage,EXECUTIVE JET AVIATION,ASPEN-PITKIN CO/SARD,Colorado,Approach,Small,No Cloud,N,20,No,None
202138,Airplane,FOKKER F28 MK 1000,03/06/00 0:00,No damage,AMERICAN AIRLINES,ROCHESTER INTL,Minnesota,Climb,Small,No Cloud,N,200,No,Precautionary Landing
201983,Airplane,B-757-200,03/07/00 0:00,No damage,NORTHWEST AIRLINES,MINNEAPOLIS-ST PAUL INTL,Minnesota,Approach,Small,Overcast,N,75,Yes,None
200247,Airplane,HAWKER 800,03/11/00 0:00,No damage,BUSINESS,PUEBLO MEMORIAL ARPT,Colorado,Approach,Small,No Cloud,N,10,No,None
201387,Airplane,EMB-135,3/13/00 0:00,No damage,CONTINENTAL AIRLINES,WESTCHESTER COUNTY ARPT,New York,Climb,Medium,No Cloud,Y,10,No,None
